COUNTRIES,autocratic,autonomous,self_protective,HDI,GERD,RQ,patents,population,PPT,CEE
Albania,3.390138889,3.984722222,4.617954053,0.789,0.120845,0.22,39,2811666,0.01387078,yes
Algeria,NA,NA,NA,0.745,0.254643,-1.18,281,44177969,0.006360636,no
Andorra,NA,NA,NA,0.884,0,1.36,27,79034,0.341625123,no
Angola,NA,NA,NA,0.591,0.03229,-1.04,0,34503774,0,no
Argentina,2.231481481,4.549019608,3.451330584,0.849,0.529351,-0.7,717,45808747,0.015652033,no
Armenia,NA,NA,NA,0.786,0.231464,0.24,106,2790974,0.037979573,no
Australia,2.278003876,3.945494186,3.048148552,0.946,2.093611,1.81,12825,25685412,0.499310659,no
Austria,1.896844181,4.473865878,3.066398231,0.926,2.818712,1.45,13472,8955797,1.504277062,no
Azerbaijan,NA,NA,NA,0.76,0.206301,-0.37,338,10137750,0.033340731,no
Bahrain,NA,NA,NA,0.888,0.10116,0.69,17,1463265,0.011617855,no
Bangladesh,NA,NA,NA,0.67,0,-0.92,91,169356251,0.000537329,no
Belarus,NA,NA,NA,0.801,0.615159,-1.17,1118,9302585,0.120181648,yes
Belgium,NA,NA,NA,0.942,2.383226,1.28,13966,11586195,1.205400047,no
Belize,NA,NA,NA,0.7,0,-0.44,21,400031,0.052495932,no
Benin,NA,NA,NA,0.504,0,-0.46,171,12996895,0.013156989,no
Bhutan,NA,NA,NA,0.681,0,-0.71,0,777486,0,no
Bolivia,2.791419142,3.918300654,3.825543136,0.698,0.157,-0.89,6,12079472,0.00049671,no
Bosnia and Herzegovina,NA,NA,NA,0.779,0.150684,-0.14,64,3270943,0.019566223,yes
Botswana,NA,NA,NA,0.708,0.453817,0.62,4,2588423,0.001545342,no
Brazil,1.929024081,2.265209125,3.493484276,0.76,1.145503,-0.03,6909,214326223,0.032235906,no
Brunei,NA,NA,NA,0.829,0.28,0.96,5,445373,0.011226545,no
Bulgaria,NA,NA,NA,0.799,0.639479,0.61,466,6877743,0.067754785,yes
Burkina Faso,NA,NA,NA,0.438,0.229059,-0.4,85,22100683,0.003846035,no
Cambodia,NA,NA,NA,0.6,0.11823,-0.52,0,16589023,0,no
Cameroon,NA,NA,NA,0.587,0,-0.84,1074,27198628,0.039487286,no
Canada,1.892671855,3.646562905,2.95511833,0.935,1.796784,1.69,26525,38239864,0.693647864,no
Central African Republic,NA,NA,NA,0.387,0,-1.32,17,5457154,0.003115177,no
Chad,NA,NA,NA,0.394,0.3005,-1.12,51,17179740,0.002968613,no
Chile,NA,NA,NA,0.86,0.357926,1.37,930,19493184,0.047708984,no
China,2.662291667,4.067708333,3.797752456,0.788,1.85001,-0.3,1538604,1412360000,1.089385143,no
Colombia,2.443333333,3.335928489,3.366750213,0.758,0.239199,0.26,692,51516562,0.013432573,no
Congo,NA,NA,NA,0.593,0.4149,-1.26,71,5835806,0.012166271,no
Costa Rica,2.456086957,3.457246377,3.547790782,0.806,0.433143,0.55,130,5153957,0.025223338,no
Croatia,NA,NA,NA,0.878,0.884654,0.41,304,3878981,0.078371098,yes
Cuba,NA,NA,NA,0.764,0.469695,-1.5,112,11256372,0.00994992,no
Cyprus,NA,NA,NA,0.907,0.510136,1.09,417,1244188,0.335158352,no
Czechia,2.03715847,4.647199454,3.132882821,0.895,1.610234,1.2,1922,10505772,0.18294705,yes
Denmark,2.10005144,3.787294239,2.810271579,0.952,2.833908,1.8,14100,5856733,2.407485538,no
Djibouti,NA,NA,NA,0.515,0,-0.74,3,1105557,0.002713564,no
Dominica,NA,NA,NA,0.74,0,0.29,5,72412,0.069049329,no
Dominican Republic,NA,NA,NA,0.766,0,-0.04,46,11117873,0.004137482,no
Ecuador,2.496598639,3.528911565,3.623156469,0.765,0.308977,-0.94,51,17797737,0.002865533,no
Egypt,3.25331675,4.488391376,4.209112904,0.728,0.572727,-0.56,997,109262178,0.009124841,no
El Salvador,2.641025641,3.471153846,3.430361085,0.674,0.117875,0,2,6314167,0.000316748,no
Equatorial Guinea,NA,NA,NA,0.65,0,-1.54,0,1634466,0,no
Estonia,NA,NA,NA,0.899,1.459924,1.44,350,1330932,0.262973615,yes
Ethiopia,NA,NA,NA,0.492,0.294108,-0.99,0,120283026,0,no
Finland,2.113255814,4.075775194,2.546267062,0.942,3.194258,1.81,12826,5541017,2.314737529,no
France,2.359065934,3.320054945,2.809306368,0.91,2.174601,1.19,66137,67764304,0.975985823,no
Gabon,NA,NA,NA,0.693,0.502157,-0.61,359,2341179,0.153341543,no
Gambia,NA,NA,NA,0.495,0.0444,-0.51,0,2639916,0,no
Georgia,2.638996139,4.565755208,3.893018741,0.814,0.240329,0.73,132,3708610,0.03559285,no
Germany,1.954681195,4.298627926,2.961232407,0.95,2.820579,1.57,165826,83196078,1.99319492,no
Ghana,NA,NA,NA,0.602,0.30406,-0.11,0,32833031,0,no
Greece,2.136039886,3.980413105,3.48556793,0.893,0.875587,0.52,1387,10569207,0.131230281,no
Grenada,NA,NA,NA,0.793,0,0.24,1,124610,0.008025038,no
Guatemala,2.347619048,3.375,3.766929867,0.629,0.042731,-0.29,15,17109746,0.000876693,no
Guinea,NA,NA,NA,0.471,0,-1.02,52,13531906,0.00384277,no
Guinea-Bissau,NA,NA,NA,0.483,0,-1.22,0,2060721,0,no
Guyana,NA,NA,NA,0.742,0,-0.54,40,804567,0.049716183,no
Honduras,NA,NA,NA,0.624,0.043976,-0.43,2,10278345,0.000194584,no
Hong Kong,3.271929825,4.384990253,3.671253987,0.956,0.811181,1.94,3261,7413100,0.439896939,no
Hungary,2.55701275,3.234972678,3.238302613,0.851,1.231126,0.9,1466,9709891,0.150980068,yes
Iceland,NA,NA,NA,0.959,2.34486,1.31,371,372520,0.995919682,no
India,3.099561404,3.846491228,3.770971894,0.644,0.739587,-0.31,43163,1407563842,0.030665039,no
Indonesia,3.265034619,4.189663699,4.123117809,0.713,0.204244,-0.16,1445,273753191,0.005278477,no
Iran,3.072881356,3.849303136,4.343217344,0.78,0.485669,-1.46,10350,87923432,0.11771606,no
Iraq,NA,NA,NA,0.673,0.039695,-1.13,0,43533592,0,no
Ireland,2.48482906,3.953525641,3.002273977,0.95,1.331408,1.62,7061,5033164,1.402894879,no
Israel,2.881154082,4.255985267,3.635169784,0.915,4.381794,1.21,17341,9371400,1.850417227,no
Italy,2.6360799,3.616416979,3.254512143,0.906,1.273787,0.74,34206,59133173,0.578457036,no
Ivory Coast,NA,NA,NA,0.534,0.06975,-0.75,697,27478249,0.025365517,no
Jamaica,NA,NA,NA,0.706,0,0.18,23,2827695,0.008133833,no
Japan,3.182051282,3.674358974,3.600989962,0.92,3.209298,1.2,412885,125681593,3.285166826,no
Jordan,NA,NA,NA,0.736,0.558505,0.17,53,11148278,0.004754097,no
Kazakhstan,2.942837466,4.584022039,3.352575495,0.802,0.173121,-0.24,0,19191356,0,no
Kenya,NA,NA,NA,0.601,0.485873,-0.32,199,53005614,0.003754319,no
Korea,3.76695279,4.212446352,3.674647127,0.929,3.700349,0.99,267527,51769539,5.167652739,no
Kuwait,2.957,3.385,4.01798593,0.847,0.133523,0.15,0,4250114,0,no
Kyrgyzstan,NA,NA,NA,0.701,0.143903,-0.39,120,6773400,0.017716361,no
Latvia,NA,NA,NA,0.879,0.597072,1.04,281,1884490,0.149111961,yes
Lithuania,NA,NA,NA,0.879,0.901556,1.09,477,2800839,0.170306112,yes
Macao,NA,NA,NA,0.925,0.159422,1.58,163,686607,0.237399269,no
Madagascar,NA,NA,NA,0.487,0.098376,-0.66,6,28915653,0.0002075,no
Malaysia,2.85785124,4.026170799,3.49041687,0.807,1.010012,0.58,1863,33573874,0.055489575,no
Mali,NA,NA,NA,0.41,0.290047,-0.56,194,21904983,0.008856432,no
Mauritania,NA,NA,NA,0.54,0.01019,-0.8,36,4614974,0.007800694,no
Mauritius,NA,NA,NA,0.796,0.336874,0.93,165,1266334,0.130297378,no
Mexico,3.353084416,3.858849077,3.858334688,0.781,0.384837,0.18,1994,126705138,0.015737326,no
Moldova,NA,NA,NA,0.763,0.340326,-0.1,75,2595809,0.028892727,yes
Mongolia,NA,NA,NA,0.741,0.196475,-0.27,113,3347782,0.033753691,no
Montenegro,NA,NA,NA,0.844,0.607099,0.13,0,619211,0,no
Morocco,2.753930818,3.343553459,3.255094123,0.698,0.605115,-0.15,399,37076584,0.010761509,no
Mozambique,NA,NA,NA,0.461,0.312903,-0.63,30,32077072,0.000935247,no
Namibia,2.583333333,3.770833333,3.356968878,0.61,0.244745,0.08,0,2530151,0,no
Netherlands,2.075958188,3.534843206,2.865473935,0.946,1.973472,1.76,32779,17533044,1.869555566,no
New Zealand,2.630344203,3.773097826,3.188788827,0.939,1.261589,1.84,2682,5111300,0.524719739,no
Niger,NA,NA,NA,0.394,0,-0.68,68,25252722,0.002692779,no
Nigeria,2.754286859,3.618305356,3.892841546,0.548,0.208335,-0.89,410,213401323,0.001921263,no
North Macedonia,NA,NA,NA,0.765,0.319281,0.26,73,1837114,0.039736238,yes
Norway,NA,NA,NA,0.966,1.771823,1.59,5841,5408320,1.080002663,no
Oman,NA,NA,NA,0.819,0.21878,0.47,100,4520471,0.022121589,no
Pakistan,NA,NA,NA,0.54,0.322049,-0.66,491,231402117,0.002121847,no
Panama,NA,NA,NA,0.82,0.158563,0.4,70,4351267,0.016087268,no
Papua New Guinea,NA,NA,NA,0.568,0.03158,-0.58,4,9949437,0.000402033,no
Paraguay,NA,NA,NA,0.731,0.097739,-0.25,14,6703799,0.002088368,no
Peru,NA,NA,NA,0.762,0.123135,0.39,160,33715471,0.004745596,no
Philippines,2.700409357,3.746491228,3.319220976,0.71,0.149179,0.03,695,113880328,0.006102898,no
Poland,3.210551559,4.340527578,3.523132228,0.881,0.891909,0.87,5916,37747124,0.156727172,yes
Portugal,2.297468354,3.186708861,3.104681357,0.874,1.325565,0.87,1986,10361831,0.191664967,no
Qatar,3.118806306,3.376436782,3.90970534,0.875,0.552375,0.65,121,2688235,0.045010946,no
Romania,NA,NA,NA,0.827,0.462099,0.51,1114,19122059,0.058257325,yes
Russia,3.856589147,4.627076412,3.691057549,0.821,1.068668,-0.39,25904,144746762,0.178960825,no
Rwanda,NA,NA,NA,0.548,0.704085,-0.03,16,13461888,0.001188541,no
Samoa,NA,NA,NA,0.702,0,-0.21,17,218764,0.077709312,no
Saudi Arabia,NA,NA,NA,0.875,0.397255,0.06,4868,35950396,0.135408801,no
Senegal,NA,NA,NA,0.517,0.43508,-0.26,606,16876720,0.035907451,no
Serbia,NA,NA,NA,0.805,0.738411,-0.05,271,6834326,0.039652776,no
Seychelles,NA,NA,NA,0.802,0.275507,0.01,51,99258,0.513812489,no
Sierra Leone,NA,NA,NA,0.458,0,-0.93,0,8420641,0,no
Singapore,2.727217125,3.865825688,3.308694789,0.949,2.077188,1.96,9766,5453566,1.790754893,no
Slovakia,NA,NA,NA,0.855,0.79159,0.95,414,5447247,0.076001694,yes
Slovenia,2.491732283,4.277559055,3.606216267,0.926,1.97085,0.76,744,2108079,0.35292795,yes
Somalia,NA,NA,NA,0.38,0,-2.21,0,17065581,0,no
South Africa,2.888450899,3.936721992,3.624165403,0.717,0.715981,0.38,2751,59392255,0.046319171,no
Spain,2.59537037,3.544212963,3.380635996,0.911,1.261558,1,10880,47415794,0.229459408,no
Sri Lanka,NA,NA,NA,0.78,0.124854,-0.23,329,22156000,0.014849251,no
Suriname,NA,NA,NA,0.69,0,-0.63,0,612985,0,no
Sweden,2.410800745,3.968621974,2.814224868,0.952,3.315958,1.75,27802,10415811,2.66921126,no
Switzerland,1.905555556,4.12694704,2.922847523,0.967,2.978141,1.64,48336,8704546,5.552960488,no
Syria,NA,NA,NA,0.557,0.01942,-1.55,106,21324367,0.004970839,no
Taiwan,3.067655367,4.011299435,4.277899168,0.925,3.77,1.18,73431,23859912,3.077588886,no
Tajikistan,NA,NA,NA,0.679,0.097036,-1.08,97,9750064,0.009948653,no
Thailand,2.582882883,4.275337838,3.907093505,0.803,0.612649,0.11,1548,71601103,0.021619779,no
Togo,NA,NA,NA,0.547,0.177723,-0.86,81,8644829,0.009369763,no
Tonga,NA,NA,NA,0.739,0,-0.52,0,106017,0,no
Trinidad and Tobago,NA,NA,NA,0.814,0.067847,0.21,15,1525663,0.009831791,no
Tunisia,NA,NA,NA,0.732,0.668271,-0.29,0,12262946,0,no
Türkiye,3.223010381,3.830738178,3.573884203,0.855,0.911687,0.27,10869,84147318,0.129166327,no
Uganda,NA,NA,NA,0.55,0.281073,-0.26,20,45853778,0.000436169,no
Ukraine,NA,NA,NA,0.734,0.66249,-0.45,1706,43848986,0.038906259,yes
United Arab Emirates,NA,NA,NA,0.937,1.064631,0.79,655,9365145,0.069940188,no
United Kingdom,2.55,3.7,3.04,0.94,2.022697,1.73,53650,67026292,0.800432165,no
Uruguay,NA,NA,NA,0.83,0.386025,0.61,0,3426260,0,no
USA,2.032080201,3.745822891,3.149675446,0.927,2.826755,1.44,509962,332048977,1.535803557,no
Uzbekistan,NA,NA,NA,0.727,0.171854,-1.51,428,34915100,0.012258307,no
Vanuatu,NA,NA,NA,0.614,0,-0.38,0,319137,0,no
Venezuela,3.004694836,3.387323944,3.810062734,0.699,0.296893,-1.56,0,28199867,0,no
Viet Nam,NA,NA,NA,0.726,0.344327,-0.56,1205,97468029,0.012363028,no
Yemen,NA,NA,NA,0.424,0,-0.9,22,32981641,0.000667038,no
Zambia,2.542763158,3.427631579,3.662197532,0.569,0.10845,-0.53,15,19473125,0.000770292,no
Zimbabwe,2.351111111,3.372222222,3.200905838,0.55,0,-1.87,0,15993524,0,no